year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
2001,18,0,0,0.00941780821917808,0.0138751238850347,0.00594648166501487,0.00297324083250743
2002,18,0,0.00285714285714286,0.00666666666666667,0.0138339920948617,0.0128458498023715,0.00592885375494071
2003,18,0,0,0.00911577028258888,0.0145077720207254,0.00414507772020725,0.00310880829015544
2004,18,0.00288184438040346,0,0.010566762728146,0.0153340635268346,0.0153340635268346,0
2005,18,0,0,0.0063006300630063,0.0152761457109283,0.0082256169212691,0
2006,18,0,0,0.00515995872033024,0.0226190476190476,0.00952380952380952,0
2007,18,0,0,0.00303336703741153,0.00948991696322657,0.00593119810201661,0
2008,18,0,0,0.00785854616895874,0.0111801242236025,0.00496894409937888,0
2009,18,0,0.00951374207188161,0.00739957716701903,0.00580046403712297,0.0127610208816705,0
2010,18,0,0.00307062436028659,0,0.00770218228498074,0.0115532734274711,0
2011,18,0,0,0.00345622119815668,0.00545702592087312,0.0122783083219645,0.00545702592087312
2012,18,0,0,0.00731452455590387,0.00708215297450425,0.0141643059490085,0
2013,18,0,0,0.00579374275782155,0.00410396716826265,0.00957592339261286,0
2014,18,0,0.0037593984962406,0.0087719298245614,0.00615006150061501,0.01230012300123,0
2015,18,0,0,0.00524246395806029,0.0125,0.00625,0
2016,18,0,0.00371287128712871,0.00495049504950495,0.00489396411092985,0.00978792822185971,0
2017,18,0,0,0.00948509485094851,0.00825082508250825,0.0148514851485149,0
2018,18,0,0.00680272108843537,0.00680272108843537,0.00917431192660551,0.0201834862385321,0
1900,19,0,0.212267401791868,0,0.349787685774947,0.0668789808917197,0
1901,19,0,0.196561604584527,0.00343839541547278,0.344201210992082,0.0726595249184909,0
1902,19,0.00173310225303293,0.186019641825534,0.00404390525707683,0.364209505334627,0.0678952473326867,0
1903,19,0,0.193907439953134,0.00175746924428822,0.337214944201844,0.0621057738961669,0
1904,19,0,0.171362852213916,0.00402530189764232,0.341439688715953,0.0695525291828794,0
1905,19,0,0.187775330396476,0.00275330396475771,0.329222011385199,0.0692599620493359,0
1906,19,0,0.176728869374314,0.0021953896816685,0.343949044585987,0.0578147966682999,0
1907,19,0,0.163007683863886,0.00493962678375412,0.33220666344761,0.0531144374698213,0
1908,19,0,0.183098591549296,0.00573813249869588,0.326355851569933,0.0589914367269267,0
1909,19,0,0.184623430962343,0.00209205020920502,0.319740500463392,0.0750695088044486,0
1910,19,0,0.148764498234997,0.00151285930408472,0.326140264835704,0.0652280529671408,0
1911,19,0,0.16588785046729,0.00467289719626168,0.317233809001098,0.0625686059275521,0
1912,19,0,0.164787976382179,0.00214707461084273,0.305652826413207,0.0695347673836918,0
1913,19,0,0.145484949832776,0.00167224080267559,0.315205913410771,0.0649419218585005,0
1914,19,0,0.17042330951072,0.00384826827927433,0.28653146125845,0.0748829953198128,0
1915,19,0,0.18914845516202,0.00602863602110023,0.297454545454545,0.0581818181818182,0
1916,19,0,0.183580387685291,0.00570125427594071,0.279279279279279,0.0610610610610611,0
1917,19,0,0.163098878695209,0,0.281893004115226,0.0730452674897119,0
1918,19,0,0.135792120704107,0.00335289186923722,0.257394084732214,0.0591526778577138,0
1919,19,0,0.136239782016349,0.0036330608537693,0.247058823529412,0.0705882352941176,0
1920,19,0,0.1605,0.002,0.245815399330464,0.0659971305595409,0
1921,19,0,0.186595949855352,0.00144648023143684,0.247933884297521,0.0730027548209366,0
1922,19,0,0.167259786476868,0.00355871886120996,0.233668341708543,0.0547738693467337,0
1923,19,0,0.163175303197354,0.00220507166482911,0.242360379346681,0.0611169652265543,0
1924,19,0,0.162295081967213,0.00218579234972678,0.231071228266966,0.055524397083567,0
1925,19,0,0.16816976127321,0,0.208311134789558,0.0484816196057539,0
1926,19,0,0.155480984340045,0.00223713646532438,0.20876585928489,0.0455594002306805,0
1927,19,0,0.159702346880366,0.00228963938179737,0.200929152148664,0.0487804878048781,0
1928,19,0,0.154415954415954,0,0.186149584487535,0.0349030470914127,0
1929,19,0,0.159586681974742,0,0.186761229314421,0.0295508274231678,0
1930,19,0,0.178838412880966,0.00230017251293847,0.162398137369034,0.0389988358556461,0
1931,19,0,0.173098751418842,0,0.182486221677893,0.0471524800979792,0
1932,19,0,0.173887240356083,0,0.159593544530783,0.0382546323968918,0
1933,19,0,0.171052631578947,0,0.166973603437692,0.0343769183548189,0
1934,19,0,0.19280843149411,0,0.141732283464567,0.0301837270341207,0
1935,19,0,0.179790026246719,0.00196850393700787,0.135691318327974,0.0237942122186495,0
1936,19,0,0.173076923076923,0,0.146431199411332,0.0235467255334805,0
1937,19,0,0.198731501057082,0,0.12879348630644,0.0318282753515914,0
1938,19,0,0.181950509461426,0,0.127906976744186,0.0210755813953488,0
1939,19,0,0.226069246435845,0,0.116120218579235,0.0273224043715847,0
1940,19,0,0.214035087719298,0,0.119850187265918,0.0187265917602996,0
1941,19,0,0.223950233281493,0,0.0885022692889561,0.0136157337367625,0
1942,19,0,0.237092391304348,0,0.118961788031723,0.0129776496034607,0
1943,19,0,0.231995277449823,0,0.105295566502463,0.0123152709359606,0
1944,19,0,0.233692210259658,0,0.115384615384615,0.0125994694960212,0
1945,19,0,0.220578345662408,0,0.0906453952139231,0.00870195794053662,0
1946,19,0,0.234234234234234,0,0.105726872246696,0.00881057268722467,0
1947,19,0,0.228689275893676,0,0.142928786359077,0.0105315947843531,0
1948,19,0,0.191127890514394,0,0.0983847283406755,0.00391581008321096,0
1949,19,0,0.21038125861277,0,0.111456713322965,0.00518403317781234,0
1950,19,0,0.171538092956397,0,0.108547456738332,0.00524383848977452,0
1951,19,0,0.123606889564336,0,0.0793308148947652,0.00485698866702644,0
1952,19,0,0.194358974358974,0,0.104767184035477,0.00277161862527716,0
1953,19,0,0.117303609341826,0,0.0734265734265734,0.00174825174825175,0
1954,19,0,0.13019693654267,0,0.0833333333333333,0,0
1955,19,0,0.0794504181600956,0,0.0652439024390244,0,0
1956,19,0,0.071866295264624,0,0.0667915106117353,0,0
1957,19,0,0.0441340782122905,0,0.056915949702184,0.00198544010589014,0
1958,19,0,0.0736714975845411,0,0.0478964401294498,0.00194174757281553,0.00258899676375405
1959,19,0,0.094386181369525,0,0.0727040816326531,0.00191326530612245,0
1960,19,0,0.084533500313087,0,0.0905994550408719,0,0.00204359673024523
1961,19,0,0.0919185687847008,0,0.0692410119840213,0,0.0033288948069241
1962,19,0,0.0705289672544081,0,0.0608339029391661,0,0.00615174299384826
1963,19,0,0.0642946317103621,0,0.05625,0,0.00416666666666667
1964,19,0,0.0589988081048868,0,0.0471994965387036,0,0.00566393958464443
1965,19,0.00185528756957328,0.0482374768089054,0,0.036645525017618,0,0.00493305144467935
1966,19,0,0.0423076923076923,0,0.0301204819277108,0,0.0127175368139224
1967,19,0,0.0398406374501992,0,0.0211640211640212,0,0.0090702947845805
1968,19,0.00400534045393859,0.0200267022696929,0,0.0161290322580645,0,0.0205278592375367
1969,19,0.00411522633744856,0.0219478737997256,0.00411522633744856,0.0214022140221402,0,0.0199261992619926
1970,19,0.00204778156996587,0.0143344709897611,0,0.0149253731343284,0,0.0290652003142184
1971,19,0.00257400257400257,0.0154440154440154,0.00193050193050193,0.00929899856938484,0,0.025035765379113
1972,19,0.0054421768707483,0.0122448979591837,0,0.0141263940520446,0,0.0275092936802974
1973,19,0.00616438356164384,0.00684931506849315,0.00205479452054795,0.0118168389955687,0,0.0228951255539143
1974,19,0.00663227708179808,0.00736919675755343,0,0.016246953696182,0,0.025182778229082
1975,19,0.0118670886075949,0.00395569620253165,0.00395569620253165,0.009000900090009,0,0.0225022502250225
1976,19,0.0195439739413681,0.00732899022801303,0.00244299674267101,0.0142222222222222,0,0.024
1977,19,0.0275624461670973,0.00344530577088717,0,0.0192475940507437,0,0.0218722659667542
1978,19,0.0258333333333333,0.00916666666666667,0,0.024390243902439,0,0.0223577235772358
1979,19,0.0200153964588145,0.00846805234795997,0,0.0254314259763851,0,0.036330608537693
1980,19,0.0184473481936972,0.00614911606456572,0.00307455803228286,0.0286677908937605,0,0.0177065767284992
1981,19,0.0155884645362432,0.00701480904130943,0,0.0292812777284827,0,0.0230700976042591
1982,19,0.0127591706539075,0.00717703349282297,0,0.0311070448307411,0,0.0228728270814273
1983,19,0.0237892948173322,0.00934579439252336,0,0.0290416263310745,0.00290416263310745,0.0290416263310745
1984,19,0.0136986301369863,0.010958904109589,0,0.0299806576402321,0,0.0212765957446809
1985,19,0.0103578154425612,0.00753295668549906,0,0.0305584826132771,0,0.0231822971548999
